w_mm,R_mm,lambda_nm,f_mm,S_mm,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20
2.1854305348131313,8.15759968290655,1145.4954971894954,461.1101051312127,6.888756893806504,0.543295480023768,-2.8361667347833817,2.2932419694863397,-1.0662785779030932,-0.06737872631768962,-0.17429576751963147,0.7123956441712349,-0.04833452854483969,0.7078103565270188,-1.6784383539224859,2.2985839545056215,0.2708088608588589,0.9816980269425527,-1.2935344673506832,-0.5223498939410451,1.2162926653776263,3.0,-0.6669974576813689,-1.7739273695700846,-0.44016712210170433,-2.2820540133055442
4.7782143788446225,9.90981371476729,598.2443164209411,286.41221681877414,1.72029312789343,1.306095878357183,-1.8425027604274118,1.8813519694292413,-0.3851411844820024,0.83528199829495,0.318452663691392,0.007267900043693862,-1.609185680275816,-2.2422693353374346,-0.9194225958936635,1.9875963783911585,0.8023219894772398,0.581639093869514,0.8133879800558408,-0.37859132204390356,1.3402153923462432,2.639211143751367,-1.48442871634722,-1.2147779774844898,0.342178951087227,-2.7602215055299513
3.793972738151323,8.192087704626063,1403.253747858037,376.209622326238,3.180968303083651,1.0675464769145842,-2.40115140823704,2.042971368521587,-0.5831376328292587,0.7504415328673255,-0.12105513419483979,0.024142326771222244,-0.7808506571779367,-0.7117570806243686,-0.9374269408530324,1.9397631155681911,-0.5334942427948317,1.4320190802584933,-1.0442235466035723,0.10734581613196659,1.684344111145412,2.6617771420234746,-1.443431390584743,-1.074723866765198,-0.22526358596297597,-2.537250590519816
3.1939631788866647,8.645017622673894,1105.0836749296277,246.22173408766452,7.963114118313257,1.0085854212710514,-2.708025777611555,1.3219013114908633,-0.7490299190792129,-0.2662999491790481,0.11224406148335289,0.8355868041734634,-0.6075993634516588,0.25549189579803033,-1.0579309336735037,1.4248492200237615,0.47992532056537446,1.6739706077743133,-0.510892969894739,-0.30520852167562107,1.1067135359758002,2.154804427307512,-1.100187329007736,-1.6127183794206086,-0.36121622009189314,-2.1506863240723173
1.2020838819909643,6.74705433355906,580.7844660904974,333.5155598940972,5.758172683109377,-0.14785962590680674,-1.680610809471172,1.2580821443163768,-0.6326227070874938,-0.5136034521976545,0.004233004538793356,0.38732258361425903,0.06436900739717562,0.08084844117853639,-0.9798143737584684,1.2786250875676666,0.3589788560195833,0.12735459053520282,-0.5736262359135725,-0.5638675880162891,0.6668289521288927,2.1004389736654576,-0.2271109750590861,-1.3200557740680572,-0.4317749061771071,-1.394424489432178
1.201975341512912,8.730171297783716,1506.688766103388,203.2591718395034,9.351721556083403,0.2635627130972908,-2.6014518528137387,1.4283954218992707,-0.5923827471373617,0.12906301006020096,0.018072786300119145,0.2873030281533356,-0.13138257754292504,0.8674489351244865,-0.7669472101908652,1.6062023322019245,0.0677007049882771,1.6613476818863826,-0.9224245787308443,-0.41051667571241535,0.7029035670310633,2.097167067007321,-0.3056059490443632,-0.6456077773104826,-0.5495296720989007,-1.9234489262360936
0.7613762547568976,9.203876769140583,996.1202828356187,185.5215589034504,4.858762675072189,-0.3228318184689338,-1.520763182004195,1.384934581591845,-0.3288038459707174,0.28413285448203945,0.21366943168259747,0.4434910798742936,-0.1390151906942097,-0.7404223703560222,-0.7328258260773367,1.1282732727476805,0.06897245283841176,0.46260087406497963,-0.4117211689846771,-0.640376401358169,0.4902590051936311,1.666929872043743,-0.37827106167232805,-0.5403571608725487,0.00351612907386023,-1.2146108957816601
4.3977926559872085,8.810227106100752,483.8332196524033,310.20340377628116,8.828311292325306,1.099405310333612,-3.0,1.3102981411490562,-0.6033703241866581,-0.9058825941008772,0.06866250078106012,1.5868058461080239,-1.2867345727815562,-0.2777082163821434,-1.8011098687206988,1.8124080038494854,1.2614487427492702,1.3715456067196767,0.5204607120582109,-0.4847389523050581,0.9866307225020057,2.2819529514963683,-0.8218294386498034,-2.3127973946958624,0.11976847442951083,-2.1553597980113555
3.20501755284444,8.829742953176368,1120.8578400773272,274.1583533827911,5.0405989373041376,0.714687329089847,-2.44553706241111,1.455484642501769,-0.5326155123759327,0.3027333031639312,0.22591396971863342,0.4630473218824679,-1.0201578629279497,-0.3999567916528464,-1.0548877488184705,1.4286585662945122,0.09115176473727879,1.2201044380534953,-0.3642633206282608,-0.30313696694938325,1.1145732378111093,2.2712713014228947,-0.9013798562492401,-1.4792023762253956,-0.18838226664891977,-2.223246274564762
3.6863266000822046,7.50884382109855,691.1787430647317,310.79136611749146,9.813234508317867,1.119290144129971,-2.883015044702488,1.0860276737965593,-0.7421930045729317,-0.6846380811472748,-0.10690378654877902,1.1441951053256068,-0.9662123848155838,0.06639057787236469,-1.518428147648523,1.9355184451790544,0.8741244559162078,1.2551056180783549,-0.17364218166910939,-0.30543960461883957,0.9227480289280787,2.62226110475665,-0.6645471671964385,-1.946113028602074,-0.2114182934268685,-2.101775657331249
